User_ID,Q1_Frequency,Q2_Methods,Q3_Knowledge_Level,Q4_Concept_A_Likelihood,Q5_Concept_B_Likelihood,Q6_Preference,Q7_Barriers,Q8_Motivators,Q9_Lifestyle_Change_Likelihood,Q10_Credibility_FDA,Q10_Credibility_Studies,Q10_Credibility_Transparency,Q10_Credibility_Experts,Q10_Credibility_Stories,Q10_Credibility_Education,Q11_Open_Feedback
1,Weekly,"Smartwatch;Home blood pressure cuff",4,5,3,Concept A,"Wait and re-measure at home",Explain why;Marked as urgent,5,3,5,5,2,2,4,"Integration with Apple Health would be great."
2,Only during doctor visits,"Doctor visits only",2,4,1,Concept A,"Fear of diagnosis;Cost","Feeling symptoms",3,5,3,2,5,4,3,"Please use soft colors, red makes me anxious."
3,Monthly,"Pharmacy kiosk",3,1,5,Concept B,"Uncertainty about accuracy","Instructions on cuff usage;Marked as urgent",2,5,5,5,1,1,2,"Needs FDA clearance or it's a toy."
4,Never,None,1,5,2,Concept A,"Lack of time;Wait and re-measure","Marked as urgent",4,2,3,3,4,5,5,"Keep it simple and quick."
5,Daily,"Home blood pressure cuff;Doctor visits only",5,2,5,Concept B,"Uncertainty about accuracy","Explain why",4,5,4,4,5,2,4,"Need to export reports for my cardiologist."
6,Weekly,"Smartwatch",4,5,3,Concept A,"Wait and re-measure","Explain why",5,3,5,5,3,3,5,"Show correlation with my run times."
7,Only during doctor visits,"Pharmacy kiosk",2,3,3,Not sure,"Cost concerns","Feeling symptoms",4,4,2,3,3,4,5,"Will this be covered by insurance?"
8,Monthly,"Doctor visits only;Home blood pressure cuff",3,2,4,Concept B,"Uncertainty about accuracy;Fear of diagnosis","Instructions on cuff usage",3,5,1,1,5,3,3,"Make fonts larger please."
9,Never,None,1,3,1,Concept A,"Fear of diagnosis;Wait and re-measure",Nothing,2,3,2,2,2,5,2,"Don't bug me unless it's critical."
10,Weekly,"Home blood pressure cuff;Smartwatch",5,3,4,Concept B,"Uncertainty about accuracy","Explain why",4,4,5,5,3,1,4,"Open source the algorithm?"
